"cd_code","sla_code","sla_name"
1010101,155200300,"Balranald (A)"
1010102,155200300,"Balranald (A)"
1010103,155200300,"Balranald (A)"
1010104,155200300,"Balranald (A)"
1010105,155200300,"Balranald (A)"
1010106,155200300,"Balranald (A)"
1010107,155200300,"Balranald (A)"
1010108,155200300,"Balranald (A)"
1010109,155200300,"Balranald (A)"
1010110,155200300,"Balranald (A)"
1010201,155157800,"Wakool (A)"
1010202,155157800,"Wakool (A)"
1010203,155157800,"Wakool (A)"
1010204,155157800,"Wakool (A)"
1010205,155157800,"Wakool (A)"
1010206,155157800,"Wakool (A)"
1010207,155157800,"Wakool (A)"
1010208,155157800,"Wakool (A)"
1010209,155157800,"Wakool (A)"
1010210,155157800,"Wakool (A)"
1010211,155157800,"Wakool (A)"
1010212,155157800,"Wakool (A)"
1010213,155157800,"Wakool (A)"
1010214,155157800,"Wakool (A)"
1010215,155157800,"Wakool (A)"
1010301,150153850,"Hay (A)"
1010302,150153850,"Hay (A)"
1010303,150153850,"Hay (A)"
1010304,150153850,"Hay (A)"
1010305,150153850,"Hay (A)"
1010306,150153850,"Hay (A)"
1010307,150153850,"Hay (A)"
1010308,150153850,"Hay (A)"
1010309,150153850,"Hay (A)"
1010310,150153850,"Hay (A)"
1010311,150153850,"Hay (A)"
1010401,150151600,"Carrathool (A)"
1010402,150151600,"Carrathool (A)"
1010403,150151600,"Carrathool (A)"
1010404,150151600,"Carrathool (A)"
1010405,150151600,"Carrathool (A)"
1010406,150151600,"Carrathool (A)"
1010501,150151600,"Carrathool (A)"
1010502,150151600,"Carrathool (A)"
1010503,150151600,"Carrathool (A)"
1010504,150151600,"Carrathool (A)"
1010505,150151600,"Carrathool (A)"
1010506,150151600,"Carrathool (A)"
1010601,155151860,"Conargo (A)"
1010602,155151860,"Conargo (A)"
1010701,155155500,"Murray (A)"
1010702,155155500,"Murray (A)"
1010703,155155500,"Murray (A)"
1010704,155155500,"Murray (A)"
1010705,155155500,"Murray (A)"
1010706,155155500,"Murray (A)"
1010707,155155500,"Murray (A)"
1010708,155155500,"Murray (A)"
1010709,155155500,"Murray (A)"
1010710,155155500,"Murray (A)"
1010711,155155500,"Murray (A)"
1010712,155155500,"Murray (A)"
1010713,155155500,"Murray (A)"
1010714,155155500,"Murray (A)"
1010715,155155500,"Murray (A)"
1010716,155155500,"Murray (A)"
1010717,155155500,"Murray (A)"
1010801,155152500,"Deniliquin (A)"
1010802,155152500,"Deniliquin (A)"
1010803,155152500,"Deniliquin (A)"
1010804,155152500,"Deniliquin (A)"
1010805,155152500,"Deniliquin (A)"
1010806,155152500,"Deniliquin (A)"
1010807,155152500,"Deniliquin (A)"
1010901,155151860,"Conargo (A)"
1010902,155151860,"Conargo (A)"
1010903,155151860,"Conargo (A)"
1010904,155151860,"Conargo (A)"
1010905,155151860,"Conargo (A)"
1011001,155150650,"Berrigan (A)"
1011002,155150650,"Berrigan (A)"
1011003,155150650,"Berrigan (A)"
1011004,155150650,"Berrigan (A)"
1011005,155150650,"Berrigan (A)"
1011006,155150650,"Berrigan (A)"
1011007,155150650,"Berrigan (A)"
1011008,155150650,"Berrigan (A)"
1011009,155150650,"Berrigan (A)"
1011010,155150650,"Berrigan (A)"
1011011,155150650,"Berrigan (A)"
1011101,155150650,"Berrigan (A)"
1011102,155150650,"Berrigan (A)"
1011103,155150650,"Berrigan (A)"
1011104,155150650,"Berrigan (A)"
1011105,155150650,"Berrigan (A)"
1011106,155150650,"Berrigan (A)"
1011107,155150650,"Berrigan (A)"
1011108,155150650,"Berrigan (A)"
1011109,155150650,"Berrigan (A)"
1011201,155154250,"Jerilderie (A)"
1011202,155154250,"Jerilderie (A)"
1011203,155154250,"Jerilderie (A)"
1011204,155154250,"Jerilderie (A)"
1011205,155154250,"Jerilderie (A)"
1011301,150155550,"Murrumbidgee (A)"
1011302,150155550,"Murrumbidgee (A)"
1011303,150155550,"Murrumbidgee (A)"
1011304,150155550,"Murrumbidgee (A)"
1011305,150155550,"Murrumbidgee (A)"
1011306,150155550,"Murrumbidgee (A)"
1011401,150153450,"Griffith (C)"
1011402,150153450,"Griffith (C)"
1011403,150153450,"Griffith (C)"
1011404,150153450,"Griffith (C)"
1011405,150153450,"Griffith (C)"
1011406,150153450,"Griffith (C)"
1011407,150153450,"Griffith (C)"
1011408,150153450,"Griffith (C)"
1011409,150153450,"Griffith (C)"
1011410,150153450,"Griffith (C)"
1011411,150153450,"Griffith (C)"
1011501,150153450,"Griffith (C)"
1011502,150153450,"Griffith (C)"
1011503,150153450,"Griffith (C)"
1011504,150153450,"Griffith (C)"
1011505,150153450,"Griffith (C)"
1011506,150153450,"Griffith (C)"
1011507,150153450,"Griffith (C)"
1011508,150153450,"Griffith (C)"
1011509,150153450,"Griffith (C)"
1011510,150153450,"Griffith (C)"
1011511,150153450,"Griffith (C)"
1011512,150153450,"Griffith (C)"
1011601,150153450,"Griffith (C)"
1011602,150153450,"Griffith (C)"
1011603,150153450,"Griffith (C)"
1011604,150153450,"Griffith (C)"
1011605,150153450,"Griffith (C)"
1011606,150153450,"Griffith (C)"
1011607,150153450,"Griffith (C)"
1011608,150153450,"Griffith (C)"
1011609,150153450,"Griffith (C)"
1011610,150153450,"Griffith (C)"
1011611,150153450,"Griffith (C)"
1011612,150153450,"Griffith (C)"
1011613,150153450,"Griffith (C)"
1011701,150153450,"Griffith (C)"
1011702,150153450,"Griffith (C)"
1011703,150153450,"Griffith (C)"
1011704,150153450,"Griffith (C)"
1011705,150153450,"Griffith (C)"
1011706,150153450,"Griffith (C)"
1011707,150153450,"Griffith (C)"
1011708,150153450,"Griffith (C)"
1011801,150154750,"Leeton (A)"
1011802,150154750,"Leeton (A)"
1011803,150154750,"Leeton (A)"
1011804,150154750,"Leeton (A)"
1011805,150154750,"Leeton (A)"
1011806,150154750,"Leeton (A)"
1011807,150154750,"Leeton (A)"
1011808,150154750,"Leeton (A)"
1011809,150154750,"Leeton (A)"
1011810,150154750,"Leeton (A)"
1011811,150154750,"Leeton (A)"
1011812,150154750,"Leeton (A)"
1011901,150154750,"Leeton (A)"
1011902,150154750,"Leeton (A)"
1011903,150154750,"Leeton (A)"
1011904,150154750,"Leeton (A)"
1011905,150154750,"Leeton (A)"
1011906,150154750,"Leeton (A)"
1011907,150154750,"Leeton (A)"
1011908,150154750,"Leeton (A)"
1011909,150154750,"Leeton (A)"
1011910,150154750,"Leeton (A)"
1011911,150154750,"Leeton (A)"
1011912,150154750,"Leeton (A)"
1011913,150154750,"Leeton (A)"
1012001,150105800,"Narrandera (A)"
1012002,150105800,"Narrandera (A)"
1012003,150105800,"Narrandera (A)"
1012004,150105800,"Narrandera (A)"
1012005,150105800,"Narrandera (A)"
1012006,150105800,"Narrandera (A)"
1012007,150105800,"Narrandera (A)"
1012008,150105800,"Narrandera (A)"
1012009,150105800,"Narrandera (A)"
1012101,150105800,"Narrandera (A)"
1012102,150105800,"Narrandera (A)"
1012103,150105800,"Narrandera (A)"
1012104,150105800,"Narrandera (A)"
1012105,150105800,"Narrandera (A)"
1012106,150105800,"Narrandera (A)"
1012201,150105800,"Narrandera (A)"
1012202,150105800,"Narrandera (A)"
1012203,150105800,"Narrandera (A)"
1012204,150105800,"Narrandera (A)"
1012301,155152500,"Deniliquin (A)"
1012302,155152500,"Deniliquin (A)"
1012303,155152500,"Deniliquin (A)"
1012304,155152500,"Deniliquin (A)"
1012305,155152500,"Deniliquin (A)"
1012306,155152500,"Deniliquin (A)"
1020101,160108809,"Unincorp. Far West"
1020102,160108809,"Unincorp. Far West"
1020103,160108809,"Unincorp. Far West"
1020104,160108809,"Unincorp. Far West"
1020105,160108809,"Unincorp. Far West"
1020106,160108809,"Unincorp. Far West"
1020107,160108809,"Unincorp. Far West"
1020201,160108809,"Unincorp. Far West"
1020202,160108809,"Unincorp. Far West"
1020203,160108809,"Unincorp. Far West"
1020204,160108809,"Unincorp. Far West"
1020205,160108809,"Unincorp. Far West"
1020301,160101250,"Broken Hill (C)"
1020302,160101250,"Broken Hill (C)"
1020303,160101250,"Broken Hill (C)"
1020304,160101250,"Broken Hill (C)"
1020305,160101250,"Broken Hill (C)"
1020306,160101250,"Broken Hill (C)"
1020307,160101250,"Broken Hill (C)"
1020308,160101250,"Broken Hill (C)"
1020309,160101250,"Broken Hill (C)"
1020310,160101250,"Broken Hill (C)"
1020311,160101250,"Broken Hill (C)"
1020312,160101250,"Broken Hill (C)"
1020401,160101250,"Broken Hill (C)"
1020402,160101250,"Broken Hill (C)"
1020403,160101250,"Broken Hill (C)"
1020404,160101250,"Broken Hill (C)"
1020405,160101250,"Broken Hill (C)"
1020406,160101250,"Broken Hill (C)"
1020407,160101250,"Broken Hill (C)"
1020408,160101250,"Broken Hill (C)"
1020409,160101250,"Broken Hill (C)"
1020410,160101250,"Broken Hill (C)"
1020411,160101250,"Broken Hill (C)"
1020501,160101250,"Broken Hill (C)"
1020502,160101250,"Broken Hill (C)"
1020503,160101250,"Broken Hill (C)"
1020504,160101250,"Broken Hill (C)"
1020505,160101250,"Broken Hill (C)"
1020506,160101250,"Broken Hill (C)"
1020507,160101250,"Broken Hill (C)"
1020508,160101250,"Broken Hill (C)"
1020509,160101250,"Broken Hill (C)"
1020510,160101250,"Broken Hill (C)"
1020511,160101250,"Broken Hill (C)"
1020601,160101250,"Broken Hill (C)"
1020602,160101250,"Broken Hill (C)"
1020603,160101250,"Broken Hill (C)"
1020604,160101250,"Broken Hill (C)"
1020605,160101250,"Broken Hill (C)"
1020606,160101250,"Broken Hill (C)"
1020607,160101250,"Broken Hill (C)"
1020608,160101250,"Broken Hill (C)"
1020609,160101250,"Broken Hill (C)"
1020610,160101250,"Broken Hill (C)"
1020611,160101250,"Broken Hill (C)"
1020612,160101250,"Broken Hill (C)"
1020613,160101250,"Broken Hill (C)"
1020701,155208200,"Wentworth (A)"
1020702,155208200,"Wentworth (A)"
1020703,155208200,"Wentworth (A)"
1020704,155208200,"Wentworth (A)"
1020705,155208200,"Wentworth (A)"
1020706,155208200,"Wentworth (A)"
1020707,155208200,"Wentworth (A)"
1020708,155208200,"Wentworth (A)"
