hhID,indivID,age,gender,hhRel,hhType
1,1231,56,1,Married,HF1
1,1119,53,0,Married,HF1
2,1227,57,1,Married,HF1
2,1241,56,0,Married,HF1
3,1192,55,1,Married,HF1
3,1246,57,0,Married,HF1
4,1234,57,1,Married,HF1
4,1133,53,0,Married,HF1
5,1197,55,1,Married,HF1
5,1131,53,0,Married,HF1
6,1061,52,1,Married,HF1
6,1121,53,0,Married,HF1
7,1236,56,1,Married,HF1
7,1140,53,0,Married,HF1
8,1224,58,1,Married,HF1
8,1250,56,0,Married,HF1
9,1188,57,1,Married,HF1
9,1262,56,0,Married,HF1
10,1202,58,1,Married,HF1
10,1264,56,0,Married,HF1
11,1059,53,1,Married,HF1
11,1137,53,0,Married,HF1
12,1184,59,1,Married,HF1
12,1263,57,0,Married,HF1
13,1189,59,1,Married,HF1
13,1259,57,0,Married,HF1
14,1216,60,1,Married,HF1
14,1270,57,0,Married,HF1
15,1305,66,1,Married,HF1
15,1237,60,0,Married,HF1
17,1226,62,1,Married,HF1
17,1248,58,0,Married,HF1
16,1229,60,1,Married,HF1
16,1260,58,0,Married,HF1
19,1194,59,1,Married,HF1
19,1271,58,0,Married,HF1
18,1209,59,1,Married,HF1
18,1254,59,0,Married,HF1
21,1212,59,1,Married,HF1
21,1268,58,0,Married,HF1
20,1220,61,1,Married,HF1
20,1257,59,0,Married,HF1
23,1198,60,1,Married,HF1
23,1256,59,0,Married,HF1
22,1203,60,1,Married,HF1
22,1274,59,0,Married,HF1
25,1210,60,1,Married,HF1
25,1239,61,0,Married,HF1
24,1232,62,1,Married,HF1
24,1242,60,0,Married,HF1
27,1215,60,1,Married,HF1
27,1273,60,0,Married,HF1
26,1318,66,1,Married,HF1
26,1244,61,0,Married,HF1
29,1223,61,1,Married,HF1
29,1245,61,0,Married,HF1
28,1208,63,1,Married,HF1
28,1243,61,0,Married,HF1
31,1191,62,1,Married,HF1
31,1255,61,0,Married,HF1
30,1222,61,1,Married,HF1
30,1249,61,0,Married,HF1
30,578,22,0,Relative,HF1
30,1374,83,0,Relative,HF1
34,1304,69,1,Married,HF1
34,1332,66,0,Married,HF1
35,1190,62,1,Married,HF1
35,1261,61,0,Married,HF1
32,1185,61,1,Married,HF1
32,1267,61,0,Married,HF1
