zoneName,NF_ABS,NF_SP,HF1_ABS,HF1_SP,HF2_ABS,HF2_SP,HF3_ABS,HF3_SP,HF4_ABS,HF4_SP,HF5_ABS,HF5_SP,HF6_ABS,HF6_SP,HF7_ABS,HF7_SP,HF8_ABS,HF8_SP,HF9_ABS,HF9_SP,HF10_ABS,HF10_SP,HF11_ABS,HF11_SP,HF12_ABS,HF12_SP,HF13_ABS,HF13_SP,HF14_ABS,HF14_SP,HF15_ABS,HF15_SP,HF16_ABS,HF16_SP,Unknown_ABS,Unknown_SP
1190812,42,40,106,102,0,0,24,24,15,16,118,117,45,44,33,32,43,42,0,0,0,0,4,5,15,16,0,0,3,3,16,16,4,6,0,0
1190811,28,41,70,62,6,0,68,68,7,9,119,117,20,27,34,32,43,43,0,0,0,0,7,9,22,24,0,0,6,6,9,8,3,0,0,0
1190810,9,9,26,24,0,0,4,8,3,0,20,23,0,3,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
1190913,73,71,60,59,0,0,15,20,5,0,56,59,13,17,3,0,27,32,0,0,5,9,5,0,18,20,0,0,5,0,19,23,5,0,0,0
1190912,51,51,41,42,0,0,0,0,0,0,23,23,3,0,0,0,5,9,0,0,4,0,0,0,10,11,0,0,0,0,4,6,5,5,0,0
1190911,119,134,62,68,0,0,0,5,3,0,27,20,9,0,6,11,18,17,0,0,0,0,0,0,11,9,0,5,0,0,9,12,11,8,0,0
1190910,27,23,27,28,11,0,16,24,6,0,57,65,13,15,4,0,15,19,0,0,0,0,0,0,9,0,0,0,7,10,11,14,3,0,0,0
1190804,62,67,78,72,9,0,14,16,5,0,90,93,0,3,9,8,28,31,4,15,4,0,0,0,28,30,3,0,4,0,10,14,7,10,0,0
1190102,12,12,32,34,0,0,15,17,4,0,109,114,11,14,6,7,26,30,0,0,7,0,0,0,8,10,0,0,5,0,0,6,0,0,0,0
1190803,17,18,10,8,0,0,0,6,3,8,7,5,0,4,0,0,3,3,3,0,0,0,0,0,6,11,0,0,0,0,6,4,0,0,0,0
1190105,12,7,30,29,8,7,26,25,12,15,138,136,7,6,9,9,41,47,0,0,12,13,0,0,16,15,0,0,4,6,6,5,0,0,0,0
1190806,30,26,46,47,3,10,26,25,5,6,59,60,14,13,8,11,17,16,0,0,3,0,0,0,10,9,0,0,0,3,11,10,0,0,0,0
1190104,29,27,48,47,6,0,24,22,6,7,98,96,11,13,9,9,31,29,0,0,4,6,0,5,15,13,0,0,0,3,0,3,0,0,0,0
1190805,17,22,67,67,0,0,13,15,3,0,70,70,5,4,0,3,33,33,0,0,6,0,0,0,27,27,5,9,4,6,6,6,0,0,0,0
1190101,10,13,31,30,10,12,35,35,6,8,112,103,20,20,20,21,14,15,0,0,0,7,0,0,9,6,6,0,4,4,0,1,0,0,0,0
1190802,51,52,78,81,0,0,21,22,6,7,101,101,9,10,16,16,36,37,0,0,13,13,5,0,24,23,0,0,0,3,24,23,0,8,0,0
1190801,52,51,50,50,0,0,15,16,0,0,64,65,8,11,8,0,15,16,3,0,3,5,3,0,21,21,0,0,0,3,15,16,4,5,0,0
1190202,8,16,20,27,3,0,13,0,0,0,24,36,3,0,8,15,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
1190808,13,12,49,53,4,0,15,17,6,0,31,36,0,0,6,8,10,12,0,0,0,0,0,0,7,9,0,0,0,0,5,0,0,3,0,0
1190201,6,4,18,18,0,0,7,0,0,8,26,28,9,0,0,0,9,19,0,0,0,0,0,0,4,0,0,13,0,0,0,0,0,0,0,0
1190807,67,67,75,73,4,0,14,16,3,0,64,67,7,0,11,13,22,27,0,0,6,10,0,0,36,36,5,10,3,0,14,15,0,0,0,0
1190204,19,13,41,45,0,0,18,19,4,6,52,54,3,5,15,18,19,19,0,0,3,0,3,0,15,13,0,0,6,0,3,3,6,6,0,0
1190203,26,25,34,32,0,0,15,14,3,5,44,44,0,0,9,11,8,10,0,0,0,0,0,0,11,11,3,0,3,3,3,3,0,0,0,0
1190809,38,38,45,41,6,8,8,0,7,12,38,39,5,10,0,0,10,8,0,0,8,8,5,5,20,20,0,3,11,10,16,12,3,6,0,0
1190207,26,25,86,86,0,0,37,34,3,9,107,104,11,12,24,28,27,25,0,0,0,5,0,0,12,8,3,5,3,3,12,11,0,0,0,0
1190208,58,60,83,85,0,0,35,35,5,5,135,136,15,14,24,24,32,33,0,3,14,16,0,0,9,7,8,9,8,6,12,11,0,0,0,0
1190205,15,15,49,51,6,0,13,12,4,4,105,102,0,0,10,9,15,21,0,0,12,12,0,0,19,18,7,7,3,3,7,6,0,0,0,0
1190206,23,19,45,40,0,0,16,20,6,0,48,51,8,9,3,7,9,7,0,0,0,0,0,0,13,13,5,11,0,0,8,5,0,0,0,0
1190209,29,22,43,43,0,0,29,30,3,0,80,80,16,17,11,13,12,12,0,0,10,12,0,0,13,14,0,0,0,0,15,13,0,0,0,0
1190108,33,31,99,100,8,0,22,21,15,15,238,242,9,16,9,8,25,25,0,0,7,11,3,0,35,34,5,14,3,0,14,13,0,0,0,0
