zoneName,1_ABS,1_SP,2_ABS,2_SP,3_ABS,3_SP,4_ABS,4_SP,5_ABS,5_SP,>=6_ABS,>=6_SP
1190812,0,0,122,117,52,71,74,58,30,27,6,5
1190811,0,0,77,73,45,78,67,40,47,37,8,5
1190810,0,0,23,22,5,9,10,8,4,2,3,2
1190913,0,0,84,91,29,27,30,28,10,9,3,4
1190912,0,0,50,46,9,15,11,5,5,2,0,1
1190911,0,0,80,92,27,27,21,10,3,3,0,1
1190910,0,0,43,42,20,30,27,12,17,18,3,3
1190804,0,0,87,108,48,51,40,22,12,13,5,5
1190102,0,0,34,41,28,46,44,30,20,16,9,4
1190803,0,0,19,21,6,6,6,9,0,0,0,0
1190105,0,0,33,35,40,64,68,41,28,30,4,4
1190806,0,0,53,63,29,34,25,20,13,9,9,3
1190104,0,0,50,53,35,54,42,31,18,13,10,4
1190805,0,0,74,78,43,42,28,26,12,11,4,4
1190101,0,0,37,37,38,69,44,32,23,11,14,3
1190802,0,0,94,120,37,57,54,29,17,12,10,4
1190801,0,0,62,67,34,43,27,16,13,12,3,2
1190202,0,0,20,24,12,11,12,7,7,5,3,2
1190808,0,0,48,48,17,18,19,19,9,6,0,3
1190201,0,0,21,18,15,15,10,9,6,7,0,2
1190807,0,0,99,106,34,49,35,12,17,16,3,3
1190204,0,0,47,56,33,32,28,19,14,12,4,2
1190203,0,0,40,45,21,19,27,22,5,7,0,1
1190809,0,0,51,68,25,26,23,20,11,7,7,2
1190207,0,0,95,100,45,64,51,34,26,19,3,3
1190208,0,0,93,102,57,77,61,44,22,16,10,3
1190205,0,0,52,62,37,50,43,22,10,9,6,5
1190206,0,0,46,44,21,29,34,25,12,9,3,2
1190209,0,0,57,55,42,51,26,22,11,9,9,6
1190108,0,0,101,115,66,77,79,68,34,26,13,5
1190109,0,0,48,51,40,63,57,50,23,14,13,3
1190106,0,0,59,70,34,51,50,37,31,23,11,4
1190107,0,0,41,44,39,55,35,18,21,19,6,3
1190113,0,0,44,46,29,43,38,31,23,20,8,3
1190112,0,0,66,73,50,63,61,48,23,18,8,5
1190111,0,0,55,66,27,27,41,39,14,11,8,4
1190110,0,0,30,31,23,22,35,33,9,8,4,3
1190211,0,0,33,43,30,36,23,12,9,6,6,3
1190210,0,0,99,101,39,37,23,18,12,11,0,3
1192107,0,0,67,82,32,31,21,17,12,10,8,4
1192106,0,0,88,105,57,59,32,30,10,5,10,6
1192105,0,0,97,143,87,77,73,63,43,33,19,9
1192104,0,0,75,91,32,28,23,16,15,12,5,5
1192103,0,0,37,50,18,22,17,11,11,7,10,4
1192102,0,0,115,122,48,50,34,29,13,10,9,5
1192101,0,0,69,85,41,36,27,22,8,6,7,5
1192111,0,0,51,61,28,26,17,15,3,2,3,2
1192113,0,0,45,47,17,15,10,7,5,3,0,1
1192110,0,0,97,114,44,43,35,29,16,12,11,6
1192911,0,0,73,78,25,27,18,18,6,5,0,1
1192108,0,0,21,15,3,16,9,4,3,2,6,1
1192912,0,0,58,69,29,38,31,16,17,10,3,5
1192109,0,0,89,114,60,54,52,43,23,19,9,4
1192910,0,0,37,52,26,24,37,26,10,10,4,3
1181602,0,0,49,50,3,2,4,1,3,4,0,1
1181601,0,0,85,93,35,30,30,26,13,12,4,3
1192908,0,0,107,118,40,44,41,34,14,10,4,3
1192909,0,0,83,93,39,36,40,38,8,6,7,4
1190901,0,0,56,71,33,30,24,17,11,8,6,4
1190902,0,0,72,86,36,33,33,22,21,19,6,6
1190903,0,0,118,130,36,35,56,51,18,13,10,5
1190904,0,0,37,36,7,9,3,4,0,0,0,0
1190905,0,0,62,68,36,39,24,24,11,9,4,1
1192902,0,0,58,67,31,48,40,27,22,13,7,4
1190906,0,0,36,43,22,23,24,15,4,5,3,2
1192903,0,0,65,79,28,43,30,8,21,21,5,4
1190907,0,0,67,65,29,28,14,13,4,4,0,2
1190908,0,0,97,108,46,51,39,26,14,15,4,4
1192901,0,0,57,74,35,31,38,35,17,14,9,5
1190909,0,0,75,91,30,28,16,13,6,3,8,5
1192906,0,0,63,76,35,31,34,31,15,14,7,4
1192907,0,0,71,88,36,41,55,43,19,15,10,4
1192904,0,0,84,105,38,36,39,32,20,14,10,5
1192905,0,0,51,66,49,41,16,15,5,3,5,3
1191008,0,0,41,51,31,28,17,13,8,4,0,1
1191009,0,0,21,21,12,10,14,14,3,5,0,1
1191010,0,0,117,147,57,54,67,56,24,19,10,4
1191012,0,0,111,112,40,72,73,53,38,19,5,5
1191011,0,0,30,38,22,31,20,6,11,7,4,4
1181301,0,0,55,66,14,38,24,14,8,0,18,5
1181609,0,0,63,71,18,14,10,6,4,5,0,1
1181608,0,0,81,83,32,36,15,6,12,12,3,3
1181413,0,0,71,75,17,19,9,8,8,7,6,4
1181607,0,0,34,44,11,8,10,7,6,4,5,3
1181412,0,0,59,60,20,27,27,24,10,5,8,3
1181606,0,0,42,37,11,17,12,8,5,5,0,3
1181411,0,0,27,26,6,10,12,5,0,0,0,1
1181305,0,0,72,74,10,13,8,6,4,1,3,2
1181605,0,0,62,66,22,33,31,22,20,15,11,6
1181410,0,0,39,34,8,8,7,7,3,3,0,1
1181304,0,0,72,74,20,20,11,11,5,6,0,0
1181604,0,0,32,30,15,14,12,10,0,0,3,2
1181303,0,0,59,55,21,22,18,17,4,3,4,3
1181603,0,0,84,95,30,26,35,31,15,12,7,4
1181302,0,0,46,45,12,11,10,8,3,2,3,2
1181206,0,0,120,118,28,41,19,14,5,1,7,2
1181205,0,0,139,155,61,56,58,54,18,16,6,3
1181204,0,0,92,105,25,24,13,10,11,9,8,3
1181203,0,0,70,88,21,15,21,14,10,8,6,3
1181202,0,0,76,83,28,24,20,16,5,5,3,2
1181201,0,0,84,98,28,33,18,13,15,12,7,3
1181409,0,0,36,42,11,26,19,9,7,4,6,2
1181610,0,0,46,50,12,11,12,10,9,8,5,3
1181611,0,0,67,68,14,13,19,18,7,6,3,2
1181407,0,0,53,58,18,16,24,21,9,9,4,2
1181408,0,0,73,76,14,12,13,11,7,7,0,1
1181405,0,0,58,63,17,31,26,21,20,14,9,3
1181406,0,0,74,82,16,22,34,29,12,8,9,5
1191811,0,0,67,67,26,41,28,12,10,11,3,3
1181310,0,0,108,113,17,14,18,15,9,6,0,4
1182307,0,0,55,82,40,35,26,20,14,8,10,3
1182308,0,0,26,23,3,6,0,0,0,0,3,1
1182309,0,0,51,60,16,23,11,6,8,5,4,2
1181311,0,0,53,53,10,9,5,6,4,3,3,2
1182314,0,0,57,65,26,33,37,33,12,8,9,4
1191614,0,0,127,132,55,68,49,43,23,17,11,6
1191613,0,0,78,86,44,46,30,19,9,10,0,3
1181306,0,0,94,100,16,14,19,17,7,7,3,2
1182311,0,0,63,69,28,29,29,27,5,3,6,3
1181307,0,0,51,50,12,19,17,15,7,4,4,2
1182310,0,0,96,103,33,35,31,27,16,12,7,4
1181308,0,0,68,80,16,13,13,9,5,6,3,3
1182313,0,0,93,102,25,39,28,23,8,1,9,3
1181309,0,0,121,120,8,12,8,4,6,4,0,2
1182312,0,0,87,91,32,38,25,17,5,4,5,4
1191801,0,0,79,91,42,58,81,72,29,20,15,5
1191802,0,0,62,70,37,44,52,39,16,13,6,3
1191803,0,0,67,74,34,45,42,30,16,15,6,4
1191804,0,0,31,45,27,31,27,14,15,15,5,4
1191610,0,0,98,107,48,51,47,35,17,14,6,3
1191806,0,0,94,120,37,32,38,34,17,12,10,4
1191611,0,0,97,110,31,43,42,28,23,19,7,3
1191807,0,0,78,86,33,45,30,23,15,11,10,5
1191612,0,0,92,90,22,33,11,8,5,2,10,4
1191808,0,0,60,76,28,41,40,17,17,16,0,2
1191809,0,0,62,65,28,41,27,13,13,10,4,2
1191603,0,0,31,39,21,19,18,17,5,3,3,2
1182306,0,0,104,115,35,32,34,29,4,3,5,3
1191602,0,0,38,53,25,19,16,10,9,9,3,2
1182305,0,0,94,106,19,15,24,15,9,9,3,3
1191605,0,0,52,55,14,32,30,14,19,15,5,4
1182304,0,0,70,85,26,39,45,32,17,13,8,3
1191604,0,0,67,68,21,29,20,15,5,1,3,2
1191607,0,0,74,80,30,28,38,35,19,16,7,4
