zoneName,NF_ABS,NF_SP,HF1_ABS,HF1_SP,HF2_ABS,HF2_SP,HF3_ABS,HF3_SP,HF4_ABS,HF4_SP,HF5_ABS,HF5_SP,HF6_ABS,HF6_SP,HF7_ABS,HF7_SP,HF8_ABS,HF8_SP,HF9_ABS,HF9_SP,HF10_ABS,HF10_SP,HF11_ABS,HF11_SP,HF12_ABS,HF12_SP,HF13_ABS,HF13_SP,HF14_ABS,HF14_SP,HF15_ABS,HF15_SP,HF16_ABS,HF16_SP,Unknown_ABS,Unknown_SP
1190812,59,59,111,101,0,0,17,17,7,7,58,58,20,20,17,17,31,31,0,0,0,0,3,3,6,6,0,0,3,3,9,9,6,6,0,0
1190811,45,45,67,57,0,0,33,33,5,5,52,52,12,12,15,15,32,32,0,0,0,0,4,4,11,11,0,0,4,4,8,8,0,0,0,0
1190810,15,15,25,23,0,0,4,4,0,0,10,10,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1190913,113,113,59,58,0,0,7,7,0,0,28,28,5,5,0,0,21,21,0,0,3,3,0,0,12,12,0,0,0,0,18,18,7,7,0,0
1190912,117,117,44,37,0,0,0,0,0,0,12,12,0,0,0,0,6,6,0,0,0,0,0,0,6,6,0,0,0,0,3,3,5,5,0,0
1190911,225,225,66,66,0,0,5,5,0,0,12,12,0,0,10,10,11,11,0,0,0,0,0,0,8,8,3,3,0,0,8,8,10,10,0,0
1190910,35,35,33,28,0,0,7,7,0,0,34,34,7,7,0,0,13,13,0,0,0,0,0,0,0,0,0,0,7,7,9,9,0,0,0,0
1190804,102,102,72,72,0,0,7,7,0,0,51,51,3,3,3,3,21,21,4,4,0,0,0,0,19,19,0,0,0,0,12,12,7,7,0,0
1190102,24,24,33,32,0,0,6,6,0,0,62,62,3,3,3,3,18,18,0,0,0,0,0,0,7,7,0,0,0,0,6,6,0,0,0,0
1190803,32,32,13,12,0,0,3,3,3,3,3,3,3,3,0,0,3,3,0,0,0,0,0,0,6,6,0,0,0,0,3,3,0,0,0,0
1190105,21,21,33,26,3,3,11,11,7,7,71,71,4,4,7,7,24,24,0,0,7,7,0,0,6,6,0,0,3,3,5,5,0,0,0,0
1190806,34,34,48,45,4,4,8,8,3,3,27,27,7,7,6,6,10,10,0,0,0,0,0,0,8,8,0,0,3,3,5,5,3,3,0,0
1190104,40,40,46,43,0,0,8,8,3,3,52,52,6,6,6,6,18,18,0,0,4,4,3,3,3,3,0,0,3,3,3,3,3,3,0,0
1190805,31,31,69,66,0,0,7,7,0,0,32,32,3,3,3,3,21,21,0,0,0,0,0,0,18,18,3,3,3,3,5,5,0,0,0,0
1190101,30,30,33,29,4,4,15,15,8,8,48,48,12,12,10,10,12,12,0,0,4,4,0,0,3,3,0,0,4,4,3,3,0,0,0,0
1190802,91,91,80,78,0,0,7,7,3,3,48,48,4,4,8,8,23,23,0,0,7,7,0,0,15,15,0,0,3,3,22,22,4,4,0,0
1190801,77,77,50,49,0,0,6,6,0,0,34,34,6,6,0,0,14,14,0,0,5,5,0,0,10,10,0,0,3,3,9,9,4,4,0,0
1190202,20,20,25,25,0,0,0,0,0,0,16,16,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1190808,21,21,48,46,0,0,10,10,0,0,18,18,0,0,5,5,8,8,0,0,0,0,0,0,4,4,0,0,0,0,0,0,3,3,0,0
1190201,7,7,25,20,0,0,0,0,4,4,13,13,0,0,0,0,10,10,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0
1190807,96,96,75,70,0,0,9,9,0,0,36,36,0,0,7,7,19,19,0,0,4,4,0,0,24,24,3,3,0,0,14,14,0,0,0,0
1190204,37,37,44,39,0,0,4,4,3,3,32,32,3,3,8,8,14,14,0,0,0,0,0,0,12,12,0,0,0,0,3,3,3,3,0,0
1190203,31,31,33,33,0,0,8,8,4,4,19,19,0,0,9,9,7,7,0,0,0,0,0,0,8,8,0,0,3,3,3,3,0,0,0,0
1190809,68,68,41,41,3,3,0,0,6,6,23,23,4,4,0,0,7,7,0,0,4,4,3,3,12,12,3,3,5,5,8,8,4,4,0,0
1190207,38,38,86,81,0,0,17,17,5,5,51,51,5,5,17,17,17,17,0,0,3,3,0,0,7,7,4,4,3,3,10,10,0,0,0,0
1190208,82,82,86,81,0,0,13,13,3,3,66,66,4,4,15,15,21,21,5,5,7,7,0,0,6,6,4,4,4,4,10,10,3,3,0,0
1190205,37,37,52,49,0,0,5,5,3,3,52,52,0,0,3,3,14,14,0,0,5,5,0,0,8,8,3,3,3,3,3,3,0,0,0,0
1190206,32,32,45,40,0,0,11,11,0,0,29,29,5,5,5,5,5,5,0,0,0,0,0,0,4,4,6,6,0,0,4,4,0,0,0,0
1190209,37,37,43,40,0,0,11,11,0,0,50,50,8,8,5,5,7,7,0,0,4,4,0,0,7,7,0,0,0,0,11,11,0,0,0,0
1190108,67,67,99,93,0,0,10,10,5,5,112,112,6,6,5,5,18,18,0,0,5,5,0,0,20,20,5,5,0,0,12,12,0,0,0,0
1190109,39,39,40,31,8,8,14,14,5,5,56,56,13,13,6,6,21,21,0,0,3,3,3,3,9,9,0,0,0,0,8,8,4,4,0,0
1190106,33,33,50,50,0,0,21,21,0,0,62,62,7,7,12,12,11,11,0,0,0,0,0,0,8,8,0,0,3,3,8,8,3,3,0,0
1190107,16,16,42,37,0,0,6,6,4,4,55,55,3,3,4,4,18,18,3,3,0,0,0,0,6,6,0,0,3,3,0,0,0,0,0,0
1190113,25,25,41,36,4,4,11,11,0,0,56,56,9,9,0,0,8,8,0,0,0,0,0,0,5,5,3,3,3,3,8,8,0,0,0,0
