zoneName,NF_ABS,NF_SP,HF1_ABS,HF1_SP,HF2_ABS,HF2_SP,HF3_ABS,HF3_SP,HF4_ABS,HF4_SP,HF5_ABS,HF5_SP,HF6_ABS,HF6_SP,HF7_ABS,HF7_SP,HF8_ABS,HF8_SP,HF9_ABS,HF9_SP,HF10_ABS,HF10_SP,HF11_ABS,HF11_SP,HF12_ABS,HF12_SP,HF13_ABS,HF13_SP,HF14_ABS,HF14_SP,HF15_ABS,HF15_SP,HF16_ABS,HF16_SP,Unknown_ABS,Unknown_SP
1190812,24,25,110,109,3,0,44,45,16,17,108,107,45,46,31,32,53,53,0,0,0,0,3,5,5,5,0,0,4,5,4,5,4,6,0,0
1190811,18,16,66,62,0,0,75,77,9,13,97,98,16,21,29,29,54,55,0,0,0,0,0,4,15,14,0,0,5,5,9,9,0,0,0,0
1190810,6,6,24,23,0,0,6,10,3,0,22,21,6,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1190913,61,64,57,57,6,0,10,13,6,0,46,49,6,8,4,0,31,34,0,0,4,6,0,0,14,14,0,0,0,0,15,18,4,14,0,0
1190912,103,108,38,36,0,0,4,0,0,0,16,21,3,0,0,0,5,9,0,0,0,0,0,0,5,6,0,0,0,0,0,0,7,6,0,0
1190911,170,191,67,64,0,0,5,15,0,0,29,25,7,0,10,19,17,19,0,0,0,0,0,0,8,7,4,6,7,0,3,4,5,12,0,0
1190910,15,15,25,28,7,0,8,11,0,0,74,81,16,19,3,0,16,21,0,0,0,0,0,0,0,0,5,0,3,6,7,7,0,0,0,0
1190804,51,51,72,74,9,0,11,15,7,0,101,103,8,11,4,7,31,34,0,3,0,0,0,0,18,20,0,0,6,0,7,10,3,4,0,0
1190102,12,15,32,33,0,0,15,18,6,0,126,128,10,12,5,7,30,31,0,0,3,0,0,0,3,6,0,0,0,0,5,6,4,0,0,0
1190803,15,17,17,16,0,0,3,6,0,4,6,4,3,8,0,0,9,6,3,0,0,0,0,0,4,1,0,0,0,0,4,2,0,0,0,0
1190105,18,17,28,25,10,10,29,28,11,13,151,148,12,12,13,13,36,35,0,0,5,8,0,0,7,6,0,0,0,0,8,8,0,0,0,0
1190806,12,11,49,49,3,10,22,21,7,6,55,55,17,16,5,7,18,17,0,0,0,0,0,0,8,7,0,0,3,3,0,0,5,6,0,0
1190104,21,16,44,39,9,0,16,17,5,7,108,109,10,11,10,11,33,29,0,0,3,6,0,4,12,13,3,0,0,3,7,6,5,6,0,0
