zoneName,MarriedABS,MarriedSP,LoneParentABS,LoneParentSP,U15ChildABS,U15ChildSP,StudentABS,StudentSP,O15ChildABS,O15ChildSP,RelativeABS,RelativeSP,GroupHholdMembersABS,GroupHholdMembersSP,LonePersonABS,LonePersonSP,UnknownABS,UnknownSP
1190812,251,252,3,3,76,76,40,40,49,49,15,15,3,2,21,23,0,0
1190811,206,207,6,4,88,88,40,40,41,41,7,7,0,0,18,16,0,0
1190810,42,42,0,0,14,14,3,4,9,9,3,3,0,0,6,6,0,0
1190913,118,118,0,0,40,40,9,9,32,32,8,14,17,21,44,43,0,0
1190912,53,53,0,0,15,15,0,0,3,3,7,7,54,59,49,49,0,0
1190911,102,102,5,5,20,20,17,17,15,15,12,12,69,95,101,96,0,0
1190910,88,89,3,3,50,50,12,12,16,16,3,3,3,2,12,13,0,0
1190804,157,157,4,4,73,73,16,16,24,24,7,7,17,17,34,34,0,0
1190102,122,122,0,0,76,76,13,13,23,23,7,7,3,6,9,9,0,0
1190803,30,31,0,0,4,4,3,3,9,9,0,0,0,2,15,15,0,0
1190105,150,150,0,0,96,96,26,26,28,28,6,6,6,5,12,12,0,0
1190806,107,108,0,0,47,47,11,11,13,13,18,18,3,2,9,9,0,0
1190104,132,132,3,3,83,83,13,13,24,24,6,6,9,6,12,10,0,0
1190805,133,133,5,5,49,49,11,11,31,31,4,4,3,3,9,9,0,0
1190101,137,137,3,3,69,69,36,36,29,29,3,3,13,13,16,16,0,0
1190802,167,168,9,7,62,62,16,16,42,42,0,0,5,5,40,40,0,0
1190801,108,108,4,4,51,51,11,15,21,21,8,8,13,11,23,22,0,0
1190202,47,47,3,0,18,18,4,4,6,0,6,6,7,7,7,6,0,0
1190808,86,86,0,0,31,31,12,12,12,12,3,3,0,2,12,10,0,0
1190201,50,50,0,0,22,22,5,5,0,2,3,3,0,0,4,3,0,0
1190807,140,141,6,6,70,70,14,14,25,25,6,6,14,18,28,28,0,0
1190204,97,97,0,0,55,55,12,12,20,20,0,0,9,0,20,24,0,0
1190203,86,82,3,2,35,35,13,17,8,9,3,3,4,6,12,10,0,0
1190809,84,84,3,3,58,58,11,11,18,18,3,3,6,6,27,27,0,0
1190207,188,188,4,4,83,83,29,29,27,27,0,0,3,2,14,14,0,0
1190208,199,199,9,9,91,91,22,22,23,27,10,10,13,13,28,25,0,0
1190205,123,124,3,3,59,59,14,14,10,10,0,0,0,0,25,25,0,0
1190206,95,95,0,0,44,44,11,13,17,17,3,3,9,9,15,11,0,0
1190209,118,118,0,0,59,59,16,16,21,21,6,6,3,0,15,15,0,0
1190108,241,242,10,10,138,138,7,7,29,29,9,9,10,10,32,31,0,0
1190109,157,158,0,0,85,85,15,15,39,39,6,6,7,7,12,12,0,0
1190106,162,162,0,0,87,87,23,23,20,20,4,4,0,0,23,20,0,0
1190107,126,127,3,3,58,58,10,10,19,19,3,3,0,0,6,6,0,0
1190113,120,120,3,3,76,76,13,13,18,18,9,9,0,0,6,6,0,0
1190112,184,184,3,3,96,96,29,29,23,23,9,9,12,9,15,15,0,0
1190111,117,117,0,0,84,84,10,10,28,28,0,0,3,3,17,17,0,0
1190110,89,89,3,3,57,57,9,16,13,13,4,4,0,8,14,10,0,0
1190211,79,79,6,6,38,38,4,4,17,17,3,3,7,7,15,8,0,0
1190210,129,129,6,6,42,42,13,16,22,22,3,3,17,17,44,43,0,0
1192107,104,104,4,4,41,41,14,14,37,37,3,3,6,6,28,29,0,0
1192106,134,134,13,13,92,92,11,11,42,42,16,16,3,3,45,46,0,0
1192105,215,215,13,13,140,140,32,32,92,92,6,6,0,5,27,27,0,0
1192104,99,99,11,11,52,52,9,15,39,39,3,3,9,6,37,37,0,0
1192103,70,70,3,3,36,36,7,7,28,28,6,6,0,0,28,25,0,0
1192102,174,174,4,4,62,62,9,9,44,44,12,12,4,6,26,28,0,0
1192101,115,114,3,3,44,44,8,8,36,36,6,6,8,6,26,26,0,0
1192111,85,84,8,3,24,24,5,5,21,21,9,9,0,0,11,11,0,0
1192113,63,63,0,0,16,16,3,3,7,7,3,3,3,0,25,24,0,0
1192110,138,138,8,8,76,76,11,11,47,47,13,13,0,0,32,32,0,0
1192911,86,87,0,0,39,39,4,4,10,10,6,6,9,10,26,24,0,0
1192108,35,35,0,0,14,14,4,0,3,3,0,0,6,6,4,5,0,0
1192912,114,115,0,0,54,54,12,12,22,22,3,3,4,0,22,23,0,0
1192109,185,185,14,12,72,72,17,17,56,56,16,16,7,7,33,31,0,0
1192910,97,97,3,3,39,39,5,5,20,20,6,6,3,2,0,4,0,0
1181602,55,53,0,0,5,5,0,0,7,7,0,0,0,0,22,24,0,0
1181601,129,129,12,11,62,62,7,7,20,21,9,9,9,9,29,28,0,0
1192908,154,154,9,9,56,56,17,17,43,43,11,11,3,3,32,30,0,0
1192909,131,131,9,6,63,63,6,6,31,31,17,17,15,14,24,24,0,0
1190901,98,98,3,3,52,52,12,12,16,16,5,5,14,10,45,43,0,0
1190902,127,127,7,6,63,63,10,10,37,37,7,7,0,0,15,12,0,0
1190903,186,186,9,9,85,85,19,19,38,38,11,11,17,14,56,56,0,0
1190904,38,38,0,0,6,6,0,0,6,6,3,3,0,0,32,32,0,0
1190905,114,114,6,6,53,53,7,10,26,26,9,9,3,3,22,23,0,0
1192902,140,141,4,1,47,47,14,14,27,27,3,3,3,3,14,12,0,0
1190906,62,62,3,3,27,27,4,4,16,16,9,9,9,9,24,23,0,0
1192903,128,128,3,3,52,52,16,16,22,22,3,3,3,3,21,19,0,0
1190907,80,80,6,6,23,23,7,7,18,18,9,9,19,20,44,44,0,0
1190908,147,148,9,9,73,73,15,15,29,29,9,9,29,29,62,62,0,0
1192901,122,122,12,11,58,58,20,20,33,33,6,6,9,6,30,30,0,0
1190909,93,93,7,7,34,34,5,5,19,19,10,10,90,92,72,72,0,0
1192906,120,121,6,6,49,49,10,10,26,26,9,9,3,0,25,25,0,0
1192907,156,156,7,7,72,72,14,14,36,36,12,12,12,10,25,23,0,0
1192904,152,151,6,6,68,68,5,5,41,41,0,0,0,0,24,24,0,0
1192905,99,94,8,8,35,35,5,5,20,20,12,12,0,0,18,17,0,0
1191008,66,66,10,9,25,25,5,5,18,18,19,19,67,77,41,41,0,0
1191009,41,39,0,0,17,17,5,7,11,12,3,3,6,0,0,0,0,0
1191010,219,220,9,9,89,89,29,29,34,34,22,22,24,30,47,48,0,0
1191012,239,239,6,6,91,91,36,36,23,23,9,9,6,5,20,20,0,0
1191011,69,69,0,0,32,32,13,13,18,18,3,3,4,4,21,18,0,0
1181301,105,105,0,0,48,48,8,8,26,26,7,7,4,4,12,12,0,0
1181609,80,80,9,7,19,19,4,4,4,4,0,0,6,6,21,21,0,0
1181608,114,114,0,0,32,32,14,14,16,16,11,11,9,7,41,38,0,0
1181413,87,87,0,0,37,37,5,5,7,7,6,6,6,6,29,28,0,0
1181607,51,51,6,6,13,13,13,13,3,3,0,0,0,2,23,21,0,0
1181412,92,92,9,9,41,41,16,16,16,16,4,4,4,4,16,16,0,0
1181606,60,60,4,4,18,18,8,13,0,8,0,0,0,0,20,17,0,0
1181411,34,34,0,0,14,14,3,3,4,4,0,0,3,5,13,12,0,0
1181305,80,80,7,7,8,8,4,4,14,14,0,0,3,5,46,46,0,0
1181605,132,132,0,0,59,59,5,5,23,23,3,3,0,0,10,9,0,0
1181410,45,45,0,0,14,14,3,3,7,7,0,0,3,0,16,16,0,0
1181304,94,95,3,3,24,24,5,5,9,9,0,0,0,8,27,24,0,0
1181604,55,55,3,0,27,27,3,3,6,6,0,0,0,3,16,16,0,0
1181303,69,69,3,3,44,44,7,7,6,6,6,6,0,0,17,15,0,0
1181603,137,137,6,6,66,66,20,20,14,14,3,3,3,2,22,22,0,0
1181302,63,63,0,0,21,21,5,5,4,4,0,0,0,0,18,18,0,0
1181206,134,134,9,9,48,48,8,8,13,13,3,3,19,14,40,40,0,0
1181205,229,230,5,5,114,114,11,11,19,19,11,11,12,12,36,34,0,0
1181204,117,117,6,6,42,42,11,11,12,12,6,6,9,9,20,19,0,0
1181203,95,95,6,6,39,39,9,9,8,8,9,9,4,4,23,21,0,0
1181202,95,95,6,6,45,45,9,9,17,17,4,4,5,4,17,16,0,0
1181201,116,117,7,7,52,52,8,8,12,12,3,3,6,3,39,39,0,0
1181409,76,72,5,5,30,30,7,7,8,8,6,7,0,0,18,15,0,0
1181610,69,69,5,5,29,29,11,11,11,11,3,3,4,0,19,18,0,0
1181611,86,86,3,3,34,34,7,9,6,7,6,6,3,6,20,21,0,0
1181407,94,94,0,0,36,36,9,9,13,13,3,3,4,4,17,14,0,0
1181408,100,100,0,0,26,26,3,3,16,16,0,0,8,5,23,23,0,0
1181405,123,123,3,2,43,43,13,13,18,18,0,0,0,0,24,28,0,0
1181406,128,128,3,3,56,56,10,10,14,14,6,6,0,2,29,28,0,0
