zoneName,1_ABS,1_SP,2_ABS,2_SP,3_ABS,3_SP,4_ABS,4_SP,5_ABS,5_SP,>=6_ABS,>=6_SP
1190812,53,53,6,6,0,0,0,0,0,0,0,0
1190811,39,39,3,3,0,0,3,3,0,0,0,0
1190810,15,15,0,0,0,0,0,0,0,0,0,0
1190913,96,96,12,12,5,5,0,0,0,0,0,0
1190912,84,84,27,27,3,3,3,3,0,0,0,0
1190911,159,159,53,53,4,4,3,3,0,0,6,6
1190910,32,32,3,3,0,0,0,0,0,0,0,0
1190804,89,89,10,10,3,3,0,0,0,0,0,0
1190102,21,21,3,3,0,0,0,0,0,0,0,0
1190803,29,29,3,3,0,0,0,0,0,0,0,0
1190105,18,18,3,3,0,0,0,0,0,0,0,0
1190806,31,31,3,3,0,0,0,0,0,0,0,0
1190104,37,37,3,3,0,0,0,0,0,0,0,0
1190805,28,28,3,3,0,0,0,0,0,0,0,0
1190101,24,24,3,3,0,0,3,3,0,0,0,0
1190802,85,85,6,6,0,0,0,0,0,0,0,0
1190801,70,70,7,7,0,0,0,0,0,0,0,0
1190202,14,14,3,3,3,3,0,0,0,0,0,0
1190808,18,18,3,3,0,0,0,0,0,0,0,0
1190201,7,7,0,0,0,0,0,0,0,0,0,0
1190807,82,82,11,11,3,3,0,0,0,0,0,0
1190204,37,37,0,0,0,0,0,0,0,0,0,0
1190203,21,21,10,10,0,0,0,0,0,0,0,0
1190809,65,65,3,3,0,0,0,0,0,0,0,0
1190207,35,35,3,3,0,0,0,0,0,0,0,0
1190208,72,72,7,7,0,0,3,3,0,0,0,0
1190205,34,34,3,3,0,0,0,0,0,0,0,0
1190206,25,25,7,7,0,0,0,0,0,0,0,0
1190209,37,37,0,0,0,0,0,0,0,0,0,0
1190108,62,62,5,5,0,0,0,0,0,0,0,0
1190109,33,33,3,3,0,0,0,0,3,3,0,0
1190106,33,33,0,0,0,0,0,0,0,0,0,0
1190107,13,13,3,3,0,0,0,0,0,0,0,0
1190113,20,20,5,5,0,0,0,0,0,0,0,0
1190112,21,21,7,7,0,0,0,0,0,0,0,0
1190111,35,35,3,3,0,0,0,0,0,0,0,0
1190110,16,16,0,0,0,0,3,3,0,0,0,0
1190211,13,13,3,3,3,3,3,3,0,0,0,0
1190210,102,102,12,12,3,3,0,0,0,0,0,0
1192107,81,81,3,3,0,0,0,0,0,0,0,0
1192106,93,93,4,4,0,0,0,0,0,0,0,0
1192105,53,53,5,5,0,0,0,0,0,0,0,0
1192104,96,96,4,4,0,0,0,0,0,0,0,0
1192103,48,48,3,3,0,0,0,0,0,0,0,0
1192102,75,75,3,3,0,0,0,0,0,0,0,0
1192101,56,56,3,3,0,0,0,0,0,0,0,0
1192111,28,28,7,7,0,0,0,0,0,0,0,0
1192113,67,67,0,0,0,0,0,0,0,0,0,0
1192110,77,77,3,3,0,0,0,0,0,0,0,0
1192911,59,59,11,11,0,0,0,0,0,0,0,0
1192108,5,5,0,0,3,3,0,0,0,0,0,0
1192912,55,55,0,0,0,0,0,0,0,0,0,0
1192109,79,79,8,8,0,0,0,0,0,0,0,0
1192910,14,14,3,3,0,0,0,0,0,0,0,0
1181602,33,33,0,0,0,0,0,0,0,0,0,0
1181601,57,57,6,6,0,0,0,0,0,0,0,0
