zoneID,startTime,endTime,dt
1190812,2015-07-01 19:22:35.701,2015-07-01 19:22:35.997,296
1190811,2015-07-01 19:22:39.06,2015-07-01 19:22:39.139,79
1190810,2015-07-01 19:22:40.3,2015-07-01 19:22:40.441,141
1190913,2015-07-01 19:22:40.5,2015-07-01 19:22:40.595,95
1190912,2015-07-01 19:22:41.048,2015-07-01 19:22:41.1,52
1190911,2015-07-01 19:22:41.179,2015-07-01 19:22:41.257,78
1190910,2015-07-01 19:22:41.418,2015-07-01 19:22:41.487,69
1190804,2015-07-01 19:22:42.466,2015-07-01 19:22:42.484,18
1190102,2015-07-01 19:22:42.961,2015-07-01 19:22:43.106,145
1190803,2015-07-01 19:22:43.668,2015-07-01 19:22:44.154,486
1190105,2015-07-01 19:22:44.281,2015-07-01 19:22:44.764,483
1190806,2015-07-01 19:22:45.425,2015-07-01 19:22:45.452,27
1190104,2015-07-01 19:22:45.666,2015-07-01 19:22:45.683,17
1190805,2015-07-01 19:22:46.238,2015-07-01 19:22:46.293,55
1190101,2015-07-01 19:22:46.564,2015-07-01 19:22:46.577,13
1190802,2015-07-01 19:22:46.919,2015-07-01 19:22:47.134,215
1190801,2015-07-01 19:22:47.673,2015-07-01 19:22:47.686,13
1190202,2015-07-01 19:22:47.89,2015-07-01 19:22:47.998,108
1190808,2015-07-01 19:22:48.063,2015-07-01 19:22:48.107,44
1190201,2015-07-01 19:22:48.241,2015-07-01 19:22:48.305,64
1190807,2015-07-01 19:22:48.41,2015-07-01 19:22:48.481,71
1190204,2015-07-01 19:22:48.781,2015-07-01 19:22:48.821,40
1190203,2015-07-01 19:22:49.157,2015-07-01 19:22:49.206,49
1190809,2015-07-01 19:22:49.452,2015-07-01 19:22:49.486,34
1190207,2015-07-01 19:22:49.707,2015-07-01 19:22:50.212,505
1190208,2015-07-01 19:22:51.011,2015-07-01 19:22:51.327,316
1190205,2015-07-01 19:22:52.381,2015-07-01 19:22:52.62,239
1190206,2015-07-01 19:22:52.932,2015-07-01 19:22:52.974,42
1190209,2015-07-01 19:22:53.11,2015-07-01 19:22:53.155,45
1190108,2015-07-01 19:22:53.431,2015-07-01 19:22:53.47,39
1190109,2015-07-01 19:22:55.197,2015-07-01 19:22:55.233,36
1190106,2015-07-01 19:22:55.893,2015-07-01 19:22:55.907,14
1190107,2015-07-01 19:22:56.743,2015-07-01 19:22:57.34,597
1190113,2015-07-01 19:22:57.654,2015-07-01 19:22:57.67,16
1190112,2015-07-01 19:22:58.086,2015-07-01 19:22:58.865,779
1190111,2015-07-01 19:22:59.505,2015-07-01 19:22:59.583,78
1190110,2015-07-01 19:23:00.067,2015-07-01 19:23:00.127,60
1190211,2015-07-01 19:23:00.414,2015-07-01 19:23:00.767,353
1190210,2015-07-01 19:23:00.933,2015-07-01 19:23:00.951,18
1192107,2015-07-01 19:23:01.157,2015-07-01 19:23:01.539,382
1192106,2015-07-01 19:23:01.757,2015-07-01 19:23:01.804,47
1192105,2015-07-01 19:23:02.388,2015-07-01 19:23:02.513,125
1192104,2015-07-01 19:23:05.117,2015-07-01 19:23:05.26,143
1192103,2015-07-01 19:23:05.539,2015-07-01 19:23:05.555,16
1192102,2015-07-01 19:23:05.695,2015-07-01 19:23:06.033,338
1192101,2015-07-01 19:23:06.855,2015-07-01 19:23:06.889,34
1192111,2015-07-01 19:23:07.16,2015-07-01 19:23:07.176,16
1192113,2015-07-01 19:23:07.3,2015-07-01 19:23:07.3,0
1192110,2015-07-01 19:23:07.363,2015-07-01 19:23:07.364,1
1192911,2015-07-01 19:23:07.834,2015-07-01 19:23:08.165,331
1192108,2015-07-01 19:23:08.337,2015-07-01 19:23:08.416,79
1192912,2015-07-01 19:23:08.494,2015-07-01 19:23:08.556,62
1192109,2015-07-01 19:23:08.761,2015-07-01 19:23:08.794,33
1192910,2015-07-01 19:23:09.387,2015-07-01 19:23:09.402,15
1181602,2015-07-01 19:23:09.683,2015-07-01 19:23:11.472,1789
1181601,2015-07-01 19:23:11.566,2015-07-01 19:23:11.877,311
1192908,2015-07-01 19:23:12.272,2015-07-01 19:23:12.329,57
1192909,2015-07-01 19:23:12.896,2015-07-01 19:23:12.959,63
1190901,2015-07-01 19:23:13.305,2015-07-01 19:23:13.322,17
1190902,2015-07-01 19:23:13.508,2015-07-01 19:23:13.539,31
1190903,2015-07-01 19:23:13.929,2015-07-01 19:23:14.845,916
1190904,2015-07-01 19:23:15.658,2015-07-01 19:23:15.658,0
1190905,2015-07-01 19:23:15.736,2015-07-01 19:23:16.515,779
1192902,2015-07-01 19:23:16.903,2015-07-01 19:23:16.958,55
1190906,2015-07-01 19:23:17.318,2015-07-01 19:23:18.181,863
1192903,2015-07-01 19:23:18.558,2015-07-01 19:23:18.898,340
1190907,2015-07-01 19:23:19.258,2015-07-01 19:23:20.037,779
1190908,2015-07-01 19:23:20.243,2015-07-01 19:23:20.383,140
1192901,2015-07-01 19:23:20.92,2015-07-01 19:23:22.459,1539
1190909,2015-07-01 19:23:23.053,2015-07-01 19:23:23.517,464
1192906,2015-07-01 19:23:23.712,2015-07-01 19:23:24.676,964
1192907,2015-07-01 19:23:25.047,2015-07-01 19:23:25.052,5
1192904,2015-07-01 19:23:25.526,2015-07-01 19:23:25.542,16
1192905,2015-07-01 19:23:26.037,2015-07-01 19:23:26.048,11
1191008,2015-07-01 19:23:26.33,2015-07-01 19:23:28.143,1813
1191009,2015-07-01 19:23:28.373,2015-07-01 19:23:29.345,972
1191010,2015-07-01 19:23:29.448,2015-07-01 19:23:29.926,478
1191012,2015-07-01 19:23:30.766,2015-07-01 19:23:30.88,114
1191011,2015-07-01 19:23:31.786,2015-07-01 19:23:31.83,44
1181301,2015-07-01 19:23:31.975,2015-07-01 19:23:32.783,808
1181609,2015-07-01 19:23:32.987,2015-07-01 19:23:33.198,211
1181608,2015-07-01 19:23:33.286,2015-07-01 19:23:33.323,37
1181413,2015-07-01 19:23:33.61,2015-07-01 19:23:34.459,849
1181607,2015-07-01 19:23:34.707,2015-07-01 19:23:34.778,71
1181412,2015-07-01 19:23:34.976,2015-07-01 19:23:35.809,833
1181606,2015-07-01 19:23:35.994,2015-07-01 19:23:36.822,828
1181411,2015-07-01 19:23:36.911,2015-07-01 19:23:37.039,128
1181305,2015-07-01 19:23:37.155,2015-07-01 19:23:37.85,695
1181605,2015-07-01 19:23:37.988,2015-07-01 19:23:38.006,18
1181410,2015-07-01 19:23:38.324,2015-07-01 19:23:38.445,121
1181304,2015-07-01 19:23:38.535,2015-07-01 19:23:38.545,10
1181604,2015-07-01 19:23:38.769,2015-07-01 19:23:38.912,143
1181303,2015-07-01 19:23:38.986,2015-07-01 19:23:38.996,10
1181603,2015-07-01 19:23:39.161,2015-07-01 19:23:39.183,22
1181302,2015-07-01 19:23:39.456,2015-07-01 19:23:40.061,605
1181206,2015-07-01 19:23:40.273,2015-07-01 19:23:41.034,761
1181205,2015-07-01 19:23:41.328,2015-07-01 19:23:41.673,345
1181204,2015-07-01 19:23:42.945,2015-07-01 19:23:42.956,11
1181203,2015-07-01 19:23:43.202,2015-07-01 19:23:43.437,235
1181202,2015-07-01 19:23:43.603,2015-07-01 19:23:43.987,384
1181201,2015-07-01 19:23:44.174,2015-07-01 19:23:44.237,63
1181409,2015-07-01 19:23:44.455,2015-07-01 19:23:44.502,47
1181610,2015-07-01 19:23:44.595,2015-07-01 19:23:44.628,33
1181611,2015-07-01 19:23:44.78,2015-07-01 19:23:44.853,73
1181407,2015-07-01 19:23:45.13,2015-07-01 19:23:45.158,28
1181408,2015-07-01 19:23:45.282,2015-07-01 19:23:45.368,86
1181405,2015-07-01 19:23:45.452,2015-07-01 19:23:45.501,49
1181406,2015-07-01 19:23:45.837,2015-07-01 19:23:46.045,208
1191811,2015-07-01 19:23:46.503,2015-07-01 19:23:46.833,330
1181310,2015-07-01 19:23:47.023,2015-07-01 19:23:47.209,186
1182307,2015-07-01 19:23:47.396,2015-07-01 19:23:48.068,672
1182308,2015-07-01 19:23:48.328,2015-07-01 19:23:48.675,347
1182309,2015-07-01 19:23:48.784,2015-07-01 19:23:48.784,0
1181311,2015-07-01 19:23:48.846,2015-07-01 19:23:48.878,32
1182314,2015-07-01 19:23:48.941,2015-07-01 19:23:49.097,156
1191614,2015-07-01 19:23:49.315,2015-07-01 19:23:49.44,125
1191613,2015-07-01 19:23:50.957,2015-07-01 19:23:50.989,32
1181306,2015-07-01 19:23:51.263,2015-07-01 19:23:51.399,136
1182311,2015-07-01 19:23:51.578,2015-07-01 19:23:52.545,967
1181307,2015-07-01 19:23:52.965,2015-07-01 19:23:53.012,47
1182310,2015-07-01 19:23:53.166,2015-07-01 19:23:53.244,78
1181308,2015-07-01 19:23:53.483,2015-07-01 19:23:53.517,34
1182313,2015-07-01 19:23:53.709,2015-07-01 19:23:53.716,7
1181309,2015-07-01 19:23:54.102,2015-07-01 19:23:54.429,327
1182312,2015-07-01 19:23:54.596,2015-07-01 19:23:54.658,62
1191801,2015-07-01 19:23:54.842,2015-07-01 19:23:55.041,199
